6,1,chat
6,2,chat
2,1,owner
2,2,admin
2,3,participation
2,4,participation
2,5,participation
2,6,participation
3,4,participation
3,1,owner
3,2,admin
10,1,chat
11,1,chat
12,1,chat
13,1,chat
14,1,chat
15,1,chat
16,1,chat
17,1,chat
18,1,chat
19,1,chat
20,1,chat
21,1,chat
22,1,chat
23,1,chat
24,1,chat
25,1,chat
26,1,chat
27,1,chat
28,1,chat
29,1,chat
10,2,chat
11,2,chat
12,2,chat
13,2,chat
14,2,chat
15,2,chat
16,2,chat
17,2,chat
18,2,chat
19,2,chat
20,2,chat
21,2,chat
22,2,chat
23,2,chat
24,2,chat
25,2,chat
26,2,chat
27,2,chat
28,2,chat
29,2,chat
